Loop,1
Step,1
Setting
(11:40:27.018),CH1,=,4,V,0.045,A
Reading
(11:40:41.926),[14.9462871],CH1,=,1.519,V,0.046,A
(11:40:42.158),[15.1786474],CH1,=,1.52,V,0.046,A
(11:40:42.388),[15.4089992],CH1,=,1.521,V,0.046,A
(11:40:42.620),[15.6409951],CH1,=,1.522,V,0.046,A
(11:40:42.866),[15.8867767],CH1,=,1.522,V,0.046,A
(11:40:43.099),[16.1192908],CH1,=,1.523,V,0.046,A
(11:40:43.330),[16.3501775],CH1,=,1.524,V,0.046,A
(11:40:43.560),[16.5804256],CH1,=,1.524,V,0.046,A
(11:40:43.792),[16.8122991],CH1,=,1.525,V,0.046,A
(11:40:44.039),[17.059312],CH1,=,1.526,V,0.046,A
(11:40:44.271),[17.2913839],CH1,=,1.526,V,0.046,A
(11:40:44.503),[17.5238853],CH1,=,1.527,V,0.046,A
(11:40:44.736),[17.7563083],CH1,=,1.527,V,0.046,A
(11:40:44.968),[17.9885136],CH1,=,1.528,V,0.046,A
(11:40:45.199),[18.2196389],CH1,=,1.528,V,0.046,A
(11:40:45.431),[18.4515468],CH1,=,1.529,V,0.046,A
(11:40:45.677),[18.6975019],CH1,=,1.529,V,0.046,A
(11:40:45.908),[18.928398],CH1,=,1.53,V,0.046,A
(11:40:46.139),[19.1593912],CH1,=,1.53,V,0.046,A
(11:40:46.371),[19.3913996],CH1,=,1.53,V,0.046,A
(11:40:46.602),[19.6223182],CH1,=,1.531,V,0.046,A
(11:40:46.833),[19.8535236],CH1,=,1.531,V,0.046,A
(11:40:47.066),[20.0861333],CH1,=,1.531,V,0.046,A
(11:40:47.297),[20.3170977],CH1,=,1.532,V,0.046,A
(11:40:47.528),[20.5490414],CH1,=,1.532,V,0.046,A
(11:40:47.759),[20.7796275],CH1,=,1.532,V,0.046,A
(11:40:48.006),[21.0266979],CH1,=,1.533,V,0.046,A
(11:40:48.238),[21.2585569],CH1,=,1.533,V,0.046,A
(11:40:48.468),[21.4885005],CH1,=,1.533,V,0.046,A
(11:40:48.699),[21.7197585],CH1,=,1.533,V,0.046,A
(11:40:48.931),[21.9512434],CH1,=,1.534,V,0.046,A
(11:40:49.178),[22.1985806],CH1,=,1.534,V,0.046,A
(11:40:49.409),[22.4296754],CH1,=,1.534,V,0.046,A
(11:40:49.640),[22.6601059],CH1,=,1.535,V,0.046,A
(11:40:49.871),[22.8918717],CH1,=,1.535,V,0.046,A
(11:40:50.103),[23.1236585],CH1,=,1.535,V,0.046,A
(11:40:50.351),[23.3710861],CH1,=,1.535,V,0.046,A
(11:40:50.582),[23.6029077],CH1,=,1.536,V,0.046,A
(11:40:50.815),[23.8352289],CH1,=,1.536,V,0.046,A
(11:40:51.047),[24.067793],CH1,=,1.536,V,0.046,A
(11:40:51.279),[24.2994978],CH1,=,1.536,V,0.046,A
(11:40:51.511),[24.5312873],CH1,=,1.537,V,0.046,A
(11:40:51.757),[24.7776048],CH1,=,1.537,V,0.046,A
(11:40:51.987),[25.007381],CH1,=,1.537,V,0.046,A
(11:40:52.219),[25.2390875],CH1,=,1.537,V,0.046,A
(11:40:52.449),[25.4693603],CH1,=,1.537,V,0.046,A
(11:40:52.695),[25.7152428],CH1,=,1.538,V,0.046,A
(11:40:52.926),[25.9468096],CH1,=,1.538,V,0.046,A
(11:40:53.156),[26.1768947],CH1,=,1.538,V,0.046,A
(11:40:53.387),[26.4074078],CH1,=,1.538,V,0.046,A
(11:40:53.621),[26.6414584],CH1,=,1.538,V,0.046,A
(11:40:53.867),[26.8874319],CH1,=,1.538,V,0.046,A
(11:40:54.098),[27.1181092],CH1,=,1.538,V,0.046,A
(11:40:54.327),[27.3477904],CH1,=,1.539,V,0.046,A
(11:40:54.559),[27.579405],CH1,=,1.539,V,0.046,A
(11:40:54.801),[27.8212548],CH1,=,1.539,V,0.046,A
(11:40:55.033),[28.0538194],CH1,=,1.539,V,0.046,A
(11:40:55.265),[28.2856257],CH1,=,1.539,V,0.046,A
(11:40:55.496),[28.5167707],CH1,=,1.539,V,0.046,A
(11:40:55.728),[28.7486022],CH1,=,1.54,V,0.046,A
(11:40:55.958),[28.9786566],CH1,=,1.54,V,0.046,A
(11:40:56.189),[29.2092665],CH1,=,1.54,V,0.046,A
